kingdom,phylum
Archaea,Crenarchaeota
Archaea,Euryarchaeota
Archaea,Parvarchaeota
Bacteria,AC1
Bacteria,AD3
Bacteria,Acidobacteria
Bacteria,Actinobacteria
Bacteria,AncK6
Bacteria,Aquificae
Bacteria,Armatimonadetes
Bacteria,BHI80-139
Bacteria,BRC1
Bacteria,Bacteroidetes
Bacteria,CD12
Bacteria,Caldiserica
Bacteria,Caldithrix
Bacteria,Chlamydiae
Bacteria,Chlorobi
Bacteria,Chloroflexi
Bacteria,Cyanobacteria
Bacteria,Deferribacteres
Bacteria,Dictyoglomi
Bacteria,Elusimicrobia
Bacteria,FBP
Bacteria,FCPU426
Bacteria,Fibrobacteres
Bacteria,Firmicutes
Bacteria,Fusobacteria
Bacteria,GAL15
Bacteria,GN02
Bacteria,GN04
Bacteria,GOUTA4
Bacteria,Gemmatimonadetes
Bacteria,H-178
Bacteria,Hyd24-12
Bacteria,KSB3
Bacteria,LCP-89
Bacteria,LD1
Bacteria,Lentisphaerae
Bacteria,MVS-104
Bacteria,NC10
Bacteria,NKB19
Bacteria,NPL-UPA2
Bacteria,Nitrospirae
Bacteria,OC31
Bacteria,OD1
Bacteria,OP1
Bacteria,OP11
Bacteria,OP3
Bacteria,OP8
Bacteria,OP9
Bacteria,PAUC34f
Bacteria,Planctomycetes
Bacteria,Poribacteria
Bacteria,Proteobacteria
Bacteria,SAR406
Bacteria,SBR1093
Bacteria,SR1
Bacteria,Spirochaetes
Bacteria,Synergistetes
Bacteria,TM6
Bacteria,TM7
Bacteria,TPD-58
Bacteria,Tenericutes
Bacteria,Thermi
Bacteria,Unassigned
Bacteria,Verrucomicrobia
Bacteria,WPS-2
Bacteria,WS1
Bacteria,WS2
Bacteria,WS3
Bacteria,WS4
Bacteria,WWE1
Bacteria,ZB3
Unassigned,Unassigned
