X	Y	LS	lowCI	upCI	Xs	Ys	Len	Delay	P	PCC	Ppcc	SPCC	Pspcc	Dspcc	SCC	Pscc	SSCC	Psscc	Dsscc	Q	Qpcc	Qspcc	Qscc	Qsscc	Xi	Yi
ARISA_402.4	ARISA_419.5	0.538162	0.538162	0.538162	1	1	113	0	0.000000	0.394618	0.000009	0.394618	0.000009	0	0.367622	0.000039	0.367622	0.000039	0	0.000002	0.000017	0.000002	0.000141	0.000005	1	2
ARISA_402.4	ARISA_421.5	0.511891	0.511891	0.511891	1	1	119	0	0.000000	0.515928	0.000000	0.515928	0.000000	0	0.556208	0.000000	0.556208	0.000000	0	0.000009	0.000000	0.000000	0.000000	0.000000	1	3
ARISA_402.4	ARISA_435.5	-0.217754	-0.217754	-0.217754	1	1	108	0	0.193657	-0.186199	0.042610	-0.186199	0.042610	0	-0.249881	0.006130	-0.249881	0.006130	0	0.423624	0.015070	0.001611	0.010127	0.000321	1	4
ARISA_402.4	ARISA_538.9	-0.240919	-0.240919	-0.240919	1	1	107	0	0.098999	-0.249453	0.006221	-0.249453	0.006221	0	-0.249082	0.006301	-0.249082	0.006301	0	0.256664	0.003522	0.000408	0.010127	0.000323	1	5
ARISA_402.4	ARISA_561.8	-0.356979	-0.356979	-0.356979	3	3	114	0	0.001202	-0.283521	0.001781	-0.283521	0.001781	0	-0.288340	0.001473	-0.288340	0.001473	0	0.007427	0.001242	0.000152	0.003786	0.000126	1	6
ARISA_402.4	ARISA_570.1	-0.482638	-0.482638	-0.482638	1	1	108	0	0.000002	-0.348604	0.000102	-0.348604	0.000102	0	-0.247626	0.006624	-0.247626	0.006624	0	0.000045	0.000128	0.000017	0.010459	0.000335	1	7
ARISA_402.4	ARISA_573.6	-0.274242	-0.274242	-0.274242	64	63	56	1	0.033105	-0.172167	0.061164	-0.172167	0.061164	0	-0.136235	0.139579	-0.223050	0.015190	1	0.110350	0.019520	0.002073	0.102911	0.000582	1	8
ARISA_402.4	ARISA_594.1	-0.457365	-0.457365	-0.457365	12	12	106	0	0.000007	-0.339759	0.000157	-0.339759	0.000157	0	-0.307461	0.000670	-0.307461	0.000670	0	0.000123	0.000162	0.000021	0.001829	0.000062	1	9
ARISA_402.4	ARISA_662	-0.129084	-0.129084	-0.129084	9	9	100	0	0.934071	-0.082488	0.372466	-0.112542	0.224991	-1	-0.071785	0.437855	-0.081751	0.378823	-1	1.000000	0.071628	0.005521	0.237392	0.006646	1	10
ARISA_402.4	ARISA_666.4	-0.156541	-0.156541	-0.156541	5	4	115	1	0.717774	-0.126221	0.171360	-0.216844	0.018345	1	-0.142375	0.122440	-0.192942	0.036324	-1	1.000000	0.043566	0.000884	0.094184	0.001100	1	11
ARISA_402.4	ARISA_667.6	-0.121558	-0.121558	-0.121558	64	63	56	1	0.964826	0.034281	0.711292	-0.105260	0.256629	1	0.014401	0.876468	-0.073180	0.430969	1	1.000000	0.112309	0.005934	0.396412	0.007300	1	12
ARISA_402.4	ARISA_670.5	0.131461	0.131461	0.131461	1	1	85	0	0.924416	0.157686	0.086763	0.157686	0.086763	0	0.134614	0.144394	0.134614	0.144394	0	1.000000	0.025830	0.002761	0.104802	0.003146	1	13
ARISA_402.4	ARISA_676.9	0.405630	0.405630	0.405630	1	1	102	0	0.000118	0.339712	0.000157	0.339712	0.000157	0	0.424380	0.000002	0.424380	0.000002	0	0.001244	0.000162	0.000021	0.000008	0.000000	1	14
ARISA_402.4	ARISA_679.4	-0.244532	-0.244532	-0.244532	5	4	81	1	0.088286	-0.005405	0.953481	-0.120790	0.192600	-1	-0.033026	0.721418	-0.112771	0.224043	-1	0.240779	0.136863	0.004938	0.343532	0.004393	1	15
ARISA_402.4	ARISA_682.4	0.288541	0.288541	0.288541	2	2	92	0	0.019465	0.248795	0.006364	0.248795	0.006364	0	0.162987	0.076549	0.281449	0.002019	1	0.075696	0.003535	0.000411	0.070300	0.000157	1	16
ARISA_402.4	ARISA_686.9	-0.283120	-0.283120	-0.283120	1	1	119	0	0.023827	-0.384810	0.000016	-0.384810	0.000016	0	-0.466246	0.000000	-0.466246	0.000000	0	0.086222	0.000027	0.000003	0.000001	0.000000	1	17
ARISA_402.4	ARISA_689.8	-0.161983	-0.161983	-0.161983	48	48	72	0	0.662423	-0.085870	0.353118	-0.085870	0.353118	0	-0.153552	0.095459	-0.158141	0.087202	1	1.000000	0.069694	0.007395	0.080063	0.002202	1	18
ARISA_402.4	ARISA_729.4	0.417191	0.417191	0.417191	1	1	108	0	0.000064	0.365481	0.000044	0.365481	0.000044	0	0.429122	0.000001	0.429122	0.000001	0	0.000751	0.000060	0.000008	0.000008	0.000000	1	19
ARISA_402.4	ARISA_828.8	0.205420	0.205420	0.205420	1	1	59	0	0.271738	0.118272	0.200166	0.118272	0.200166	0	0.231293	0.011377	0.231293	0.011377	0	0.548703	0.048040	0.005067	0.015058	0.000487	1	20
ARISA_402.4	ARISA_831.8	0.456572	0.456572	0.456572	2	2	111	0	0.000008	0.295641	0.001097	0.295641	0.001097	0	0.372958	0.000029	0.372958	0.000029	0	0.000123	0.000883	0.000107	0.000111	0.000004	1	21
ARISA_419.5	ARISA_421.5	0.542522	0.542522	0.542522	1	1	109	0	0.000000	0.461293	0.000000	0.461293	0.000000	0	0.426483	0.000001	0.426483	0.000001	0	0.000002	0.000001	0.000000	0.000008	0.000000	2	3
ARISA_419.5	ARISA_435.5	-0.285446	-0.285446	-0.285446	1	1	115	0	0.022283	-0.242520	0.007873	-0.242520	0.007873	0	-0.199097	0.029950	-0.199097	0.029950	0	0.084896	0.004295	0.000485	0.031343	0.000924	2	4
