Var1,Var2,Weight
Crenarchaeota,Crenarchaeota,0
Euryarchaeota,Crenarchaeota,NA
Parvarchaeota,Crenarchaeota,NA
Acidobacteria,Crenarchaeota,NA
Actinobacteria,Crenarchaeota,NA
AncK6,Crenarchaeota,NA
Bacteroidetes,Crenarchaeota,NA
Chlamydiae,Crenarchaeota,NA
Chloroflexi,Crenarchaeota,NA
Cyanobacteria,Crenarchaeota,NA
Firmicutes,Crenarchaeota,NA
GN02,Crenarchaeota,NA
Gemmatimonadetes,Crenarchaeota,NA
Lentisphaerae,Crenarchaeota,NA
Nitrospirae,Crenarchaeota,NA
OD1,Crenarchaeota,NA
PAUC34f,Crenarchaeota,NA
Planctomycetes,Crenarchaeota,NA
Proteobacteria,Crenarchaeota,NA
SAR406,Crenarchaeota,NA
SBR1093,Crenarchaeota,NA
Spirochaetes,Crenarchaeota,NA
TM7,Crenarchaeota,NA
Verrucomicrobia,Crenarchaeota,NA
WPS-2,Crenarchaeota,NA
ZB3,Crenarchaeota,NA
Unassigned.1,Crenarchaeota,NA
Crenarchaeota,Euryarchaeota,0
Euryarchaeota,Euryarchaeota,0
Parvarchaeota,Euryarchaeota,NA
Acidobacteria,Euryarchaeota,NA
Actinobacteria,Euryarchaeota,NA
AncK6,Euryarchaeota,NA
Bacteroidetes,Euryarchaeota,NA
Chlamydiae,Euryarchaeota,NA
Chloroflexi,Euryarchaeota,NA
Cyanobacteria,Euryarchaeota,NA
Firmicutes,Euryarchaeota,NA
GN02,Euryarchaeota,NA
Gemmatimonadetes,Euryarchaeota,NA
Lentisphaerae,Euryarchaeota,NA
Nitrospirae,Euryarchaeota,NA
OD1,Euryarchaeota,NA
PAUC34f,Euryarchaeota,NA
Planctomycetes,Euryarchaeota,NA
Proteobacteria,Euryarchaeota,NA
SAR406,Euryarchaeota,NA
SBR1093,Euryarchaeota,NA
Spirochaetes,Euryarchaeota,NA
TM7,Euryarchaeota,NA
Verrucomicrobia,Euryarchaeota,NA
WPS-2,Euryarchaeota,NA
ZB3,Euryarchaeota,NA
Unassigned.1,Euryarchaeota,NA
Crenarchaeota,Parvarchaeota,0
Euryarchaeota,Parvarchaeota,0
Parvarchaeota,Parvarchaeota,0
Acidobacteria,Parvarchaeota,NA
Actinobacteria,Parvarchaeota,NA
AncK6,Parvarchaeota,NA
Bacteroidetes,Parvarchaeota,NA
Chlamydiae,Parvarchaeota,NA
Chloroflexi,Parvarchaeota,NA
Cyanobacteria,Parvarchaeota,NA
Firmicutes,Parvarchaeota,NA
