phy1,phy2,sparCC,p
Crenarchaeota,Euryarchaeota,0.3286661655852089,0
Crenarchaeota,Parvarchaeota,0.12066945296600369,0
Euryarchaeota,Parvarchaeota,-0.2361328352473458,0
Crenarchaeota,AC1,-0.1359537627283073,0
Euryarchaeota,AC1,-0.18648243819647436,0
Parvarchaeota,AC1,0.01431417254404151,0.876
Crenarchaeota,AD3,-0.1914359704749436,0
Euryarchaeota,AD3,-0.1199801532940183,0
Parvarchaeota,AD3,-0.04922854224474497,0.112
AC1,AD3,0.1143814956581644,0
Crenarchaeota,Acidobacteria,0.6622657117892878,0
Euryarchaeota,Acidobacteria,0.04697938319761631,0.21599999999999997
Parvarchaeota,Acidobacteria,0.20814750547469144,0
AC1,Acidobacteria,-0.17261984412298914,0
AD3,Acidobacteria,-0.2141007119816884,0
Crenarchaeota,Actinobacteria,0.10153911936892338,0.15399999999999991
Euryarchaeota,Actinobacteria,0.6593936395482376,0
Parvarchaeota,Actinobacteria,-0.20912994776807609,0
AC1,Actinobacteria,-0.17390006374856076,0
AD3,Actinobacteria,-0.0733874314425833,0.066
Acidobacteria,Actinobacteria,-0.11986835654951347,0.024
Crenarchaeota,AncK6,0.43927591932151666,0
Euryarchaeota,AncK6,-0.07546979707842355,0.014
Parvarchaeota,AncK6,0.25833026082085514,0
AC1,AncK6,-0.06519697809889952,0.002
AD3,AncK6,-0.14398765549165984,0
Acidobacteria,AncK6,0.5874472227922929,0
Actinobacteria,AncK6,-0.15537315933672197,0
Crenarchaeota,Aquificae,-0.15452918919093409,0
Euryarchaeota,Aquificae,-0.16464202502876873,0
Parvarchaeota,Aquificae,0.014837745840586749,0.962
AC1,Aquificae,0.11588121084483666,0
AD3,Aquificae,0.0791318506025164,0
Acidobacteria,Aquificae,-0.17115021788969315,0
Actinobacteria,Aquificae,-0.1180517756545883,0
AncK6,Aquificae,-0.07866372659301607,0
Crenarchaeota,Armatimonadetes,-0.11720743044001145,0
Euryarchaeota,Armatimonadetes,-0.1710545677193419,0
Parvarchaeota,Armatimonadetes,-0.03440622528911467,0.268
AC1,Armatimonadetes,0.07080761097207292,0
AD3,Armatimonadetes,0.06895870318882805,0.0040000000000000036
Acidobacteria,Armatimonadetes,-0.12624813634530663,0
Actinobacteria,Armatimonadetes,-0.17195544246464312,0
AncK6,Armatimonadetes,-0.06140871504601512,0.008
Aquificae,Armatimonadetes,0.07311951217043819,0
Crenarchaeota,BHI80-139,-0.20273079057008375,0
Euryarchaeota,BHI80-139,-0.03824315253334318,0.196
Parvarchaeota,BHI80-139,-0.06365457049084777,0.342
AC1,BHI80-139,0.07136208474009306,0.0040000000000000036
AD3,BHI80-139,0.10561016581338123,0
Acidobacteria,BHI80-139,-0.2792188203498046,0
Actinobacteria,BHI80-139,0.044578786688904484,0.3600000000000001
AncK6,BHI80-139,-0.16182192334148715,0
Aquificae,BHI80-139,0.0856155719954428,0
Armatimonadetes,BHI80-139,0.0655172114395081,0.03400000000000003
Crenarchaeota,BRC1,-0.03852533891908398,0.2
Euryarchaeota,BRC1,-0.15385508077627996,0
Parvarchaeota,BRC1,0.02716068515908753,0.512
AC1,BRC1,0.029087976430273978,0.014000000000000012
AD3,BRC1,0.01660252301196567,0.4159999999999999
Acidobacteria,BRC1,-0.02605051391439049,0.578
Actinobacteria,BRC1,-0.1489196716231636,0
AncK6,BRC1,-0.008694799376497295,0.8999999999999999
Aquificae,BRC1,0.025970738068651966,0.040000000000000036
Armatimonadetes,BRC1,0.04473104031124603,0
BHI80-139,BRC1,0.004656640360142904,0.3899999999999999
Crenarchaeota,Bacteroidetes,-0.25776863793677696,0
Euryarchaeota,Bacteroidetes,0.3218233158852023,0.0020000000000000018
Parvarchaeota,Bacteroidetes,-0.2877677766446177,0
AC1,Bacteroidetes,-0.008045458712174906,0.8340000000000001
AD3,Bacteroidetes,0.11083156102905597,0.03400000000000003
Acidobacteria,Bacteroidetes,-0.28163622372784325,0
Actinobacteria,Bacteroidetes,0.3921459491649655,0
AncK6,Bacteroidetes,-0.3030008768291974,0
Aquificae,Bacteroidetes,0.016864040123070273,0.5960000000000001
Armatimonadetes,Bacteroidetes,0.005282862257672041,0.8520000000000001
BHI80-139,Bacteroidetes,0.05763454799966747,0.1140000000000001
BRC1,Bacteroidetes,-0.03042484424181849,0.06
Crenarchaeota,CD12,-0.06827422625982321,0.14
Euryarchaeota,CD12,-0.2374712521708719,0
Parvarchaeota,CD12,0.2696071797508408,0
AC1,CD12,0.09636251889464115,0.020000000000000018
AD3,CD12,0.057736944750620495,0.20199999999999996
Acidobacteria,CD12,-0.0049397659400388415,0.8140000000000001
Actinobacteria,CD12,-0.2023703075944131,0
AncK6,CD12,0.050561477024026816,0.1100000000000001
Aquificae,CD12,0.05978999433728746,0.016000000000000014
Armatimonadetes,CD12,0.0522416312123353,0.18599999999999994
BHI80-139,CD12,0.027381410397728456,0.268
BRC1,CD12,0.02980044692825236,0.1419999999999999
Bacteroidetes,CD12,-0.20471530190762843,0
Crenarchaeota,Caldiserica,-0.15079983368044625,0
Euryarchaeota,Caldiserica,-0.2098741804682464,0
Parvarchaeota,Caldiserica,-0.010003106381799742,0.886
AC1,Caldiserica,0.11715471196583199,0
AD3,Caldiserica,0.09074723931855688,0
Acidobacteria,Caldiserica,-0.16077855477727027,0
Actinobacteria,Caldiserica,-0.1547860389684575,0
AncK6,Caldiserica,-0.0958692940027125,0
Aquificae,Caldiserica,0.09008968433656228,0
Armatimonadetes,Caldiserica,0.07045480375439608,0.0020000000000000018
BHI80-139,Caldiserica,0.08400391545297196,0
BRC1,Caldiserica,0.048336600061220515,0.07400000000000007
Bacteroidetes,Caldiserica,0.013138771513985525,0.5820000000000001
CD12,Caldiserica,0.08065746017008248,0.008000000000000007
